Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
More Than My Hometown,More Than My Hometown,Morgan Wallen,4/17/2020,QZ22S1800117,2755,26.8,503296417,55067,8724047,74,198319407,665110,101364,12089070,124574139,360980228,27,114836,31,3,3237,9,183787853,38592,4962564,986413,,0,https://i.scdn.co/image/ab67616d0000b27399da48a530f6ca2ef86da3cc
Clap For 'Em (feat. Flo Milli & Sada Baby),Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,3/20/2021,USRC12003901,2753,26.8,21634137,6881,1871089,40,1198045,19492,4857888,200277564,1553141547,,10,62,11,5,12192,,670016,1356,,282245,,1,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1
Homicide (feat. Eminem),Homicide,Logic,05-03-2019,USUM71908267,2751,26.8,526019789,102549,19459269,64,272873622,4245401,8436,2207422,21779736,3146026,16,881,,10,32864,6,67610754,58919,21666713,850346,,1,https://i.scdn.co/image/ab67616d0000b27341c0ad3e39388ab332ffb023
Righteous,Righteous,Juice WRLD,4/24/2020,USUG12000979,2749,26.8,553627198,108088,18837961,64,293505196,3213599,79391,5994142,43552260,48193048,32,298,31,12,64179,6,36471765,20123,,672702,,1,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb
Casei Com a Putaria,Casei Com a Putaria,Mc Paiva ZS,07-01-2022,BXKG22200702,2748,26.8,255564797,31242,9239751,63,264486017,1523924,46722,23505507,183685728,173994448,,43,,23,2170095,7,,,,,,1,https://i.scdn.co/image/ab67616d0000b273cce7f7253bac8299a8def0c4
ORANGE SODA,ORANGE SODA,Baby Keem,7/16/2019,QM6N21900076,2745,26.8,676690653,183862,33470385,73,69181584,992247,62163,26055931,203414980,70684,34,9442,3,8,26697,2,12499559,25352,,1211769,,1,https://i.scdn.co/image/ab67616d0000b273fb335901761d3214f8880f63
LAISSE MOI,LAISSE MOI,KeBlack,09-08-2023,DGA092316630,2743,26.8,76805130,12362,2698463,,62061765,290394,110539,21137395,261958744,196973081,7,12888,,17,6791140,17,587,,276434,972269,,1,https://i.scdn.co/image/ab67616d0000b273ab5360bcfb07322f015687e1
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,8/30/2019,KRA401900098,2741,26.8,6197708,428,185336,26,1100441738,18179095,492,63986,421369,104659155,,4,,,,,184239,1661,,5791,,0,https://i.scdn.co/image/ab67616d0000b273df1580ff05c0fb1b0cd23e1a
Work Out,Work Out,J. Cole,07-04-2011,USQX91100801,2740,26.8,955547971,199078,33681550,76,310902280,2357811,83230,15376388,130023976,7369620,42,864,92,13,46065,9,732322744,696800,,5104518,,1,https://i.scdn.co/image/ab67616d0000b273fddcbb546dd3440b1897c4c7
Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,01-01-2008,USUM70840511,2738,26.9,1315577954,261770,60550990,79,366241783,2719377,164714,32605436,250337316,105077315,96,18653,67,26,207876,10,587055437,418628,54924850,3795507,,0,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18
Burn It Down,Never Enough,Parker McCollum,05-12-2023,USUM72223494,2737,26.9,42332727,7018,6690589,65,23741737,116972,3495,835693,14014956,479304859,22,139251,5,6,1675871,16,36872121,7254,,307193,,0,https://i.scdn.co/image/ab67616d0000b2730fe330862c62782c7044f044
Tu Fan,tu fan,mafalda cardenal,5/26/2023,QZMZ92325070,2735,26.9,65670361,8193,4692658,66,96035934,736076,608500,55379246,493111688,37699119,2,613,,,,,,,,467250,,0,https://i.scdn.co/image/ab67616d0000b273bad70785e36220a41f671466
Mount Everest,Mount Everest,Labrinth,6/21/2019,GBHMU1800032,2734,26.9,612159812,128472,33056872,72,218832200,3089060,911853,458425066,3490816416,3238676,32,34,301,23,112133,14,,,,4948372,,1,https://i.scdn.co/image/ab67616d0000b273e4c03429788f0aff263a5fc6
Skate,Skate,Bruno Mars,7/30/2021,USAT22104222,2733,26.9,248947222,70726,16159530,63,129102965,1676120,1494,372385,5258682,747385177,95,122909,20,51,781953,36,15760107,7726,,1701042,,0,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
Galaxy Express,Galaxy Express - Single,D Gerrard,01-05-2024,THW092305121,2732,26.9,20710234,1513,1465628,61,89001571,370896,,,,736027111,7,1203,,,,,405,,,58364,,0,https://i.scdn.co/image/ab67616d0000b27331da5cb8612805d25420da8e
Whole Lotta Choppas,Whole Lotta Choppas,Sada Baby,8/14/2020,US39N2000446,2731,26.9,55312275,16559,2391593,45,39808873,574179,5063590,297105838,2188871458,61820,19,5395,186,3,1550,,4746084,9297,,732768,,1,https://i.scdn.co/image/ab67616d0000b2733d464e9d0259a16477cc2cba
Dear John,End of the World,Wild Child,3/31/2023,QMB622200356,2730,26.9,271785,152,7172,21,281209604,1652039,,,,483188,,365,,,,,7503,,,,,0,https://i.scdn.co/image/ab67616d0000b27399f63cdbaeafb0aa83b53682
Dame Tu Cosita (feat. Cutty Ranks),Dame Tu Cosita,El Chombo,4/15/2018,FR6Q11800035,2729,26.9,47325533,11423,1899926,54,585319992,2136542,5161110,484259534,6695334604,,3,6147,13,2,428,,328189,11258,,580948,,0,https://i.scdn.co/image/ab67616d0000b27387bb3e23ce2c48c8fdd44ec8
Enemy - from the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,10/27/2021,USUM72120989,2728,26.9,313209345,57092,6389142,65,,,33762,17669829,145431218,,6,,,1,173,1,24726484,20793,,9602713,,0,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13
Mercy,Mercy,Shawn Mendes,8/18/2016,USUM71603531,2727,26.9,1351515181,114379,33997882,74,602907962,5996722,154068,27390411,169125285,17674579,14,54431,245,33,125150,23,216511252,93292,903940,5017015,,0,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86
Boo'd Up,Ella Mai,Ella Mai,10-12-2018,USUM71814738,2726,27,79783827,9749,2909695,53,606083529,3884982,,,,97390609,21,3450,,9,474845,,303470045,326293,,4230367,,0,https://i.scdn.co/image/ab67616d0000b2731067b9877d6435ae9ecb26ac
Don't Mind,EPIC AF,Kent Jones,01-01-2016,USSM11603011,2725,27,416147244,59100,10161185,59,179143462,1567574,6149383,38201187,188910778,51485355,72,264,,17,71207,2,271379282,186183,,7577629,,1,https://i.scdn.co/image/ab67616d0000b273d46a9d869530328d7de85652
Wet Dreamz,2014 Forest Hills Drive,J. Cole,12-09-2014,USQX91402592,2724,27,1244864869,247570,43778928,76,280151086,2326991,17325,7247082,49460597,19721123,18,15604,29,17,219251,12,311023511,128771,,2769408,,1,https://i.scdn.co/image/ab67616d0000b2734ea6653890e297d53e93e3e0
New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,8/31/2022,GBAYE2200462,2723,27,155399041,62013,13710934,60,32481842,684033,21669,11544855,135832597,1424027,26,53724,44,14,128215,32,5895530,1892,,562309,,1,https://i.scdn.co/image/ab67616d0000b273f1802a7769aa7650c18eaf4e
Buttabomma - Telugu,"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single",Armaan Malik,12/24/2019,INA091916753,2722,27,92120986,8924,2240190,56,981723299,6195434,,16396111,219466261,,8,18,,,,4,9207,532,,156960,,0,https://i.scdn.co/image/ab67616d0000b27363118748c712b6ac32c0feec
Dientes,Dientes,J Balvin,9/15/2023,QZM5U2300388,2721,27,38622215,13808,12799845,4,16445144,247700,1894,2705205,59118842,100931285,29,61312,685,30,498777,17,1106891,375,,1517721,,1,https://i.scdn.co/image/ab67616d0000b27359ba1bf8385cb016e62a26c0
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,6/20/2019,QZ85M1951467,2720,27,496344788,114433,11312277,21,476656319,5123098,12478,3903832,31236119,214191265,5,2172,,6,30933,,10490739,36718,,611475,,1,https://i.scdn.co/image/ab67616d0000b273180b3dc8205dcbf79f671fcf
Esta Vida,Esta Vida - Single,Marshmello,4/13/2023,USSD12300013,2719,27,94359848,23027,26530704,61,66093104,558819,52600,645712,13515544,112544154,37,53605,,51,759785,17,5455072,1197,,1195281,,0,https://i.scdn.co/image/ab67616d0000b273dae76fa3541e2fb4bae49ff0
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,11-02-2023,KRA382321414,2718,27,77590300,6575,6127218,,94172195,738147,3247,22942690,170046435,572720093,7,,,1,151363,,,,,168452,,0,https://i.scdn.co/image/ab67616d0000b2734b0ddebba0d5b34f2a2f07a4
Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,02-09-2018,USWB11800211,2717,27,982424606,140455,29753134,63,123104265,916112,212758,13785747,172191863,1009012,24,42470,421,12,18818,25,356636322,99595,,2879816,,1,https://i.scdn.co/image/ab67616d0000b27365333e97834f81914f53910c
Midnight Rain,Midnights,Taylor Swift,10/21/2022,USUG12205712,2714,27,658208129,36730,23499391,72,83795730,757210,86657,36893385,256300464,2047640,26,2505,9,2,124794,26,9631678,8584,,334608,,0,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
"Lagdi Lahore Di (From ""Street Dancer 3D"")","Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,1/15/2020,INS182000105,2713,27,112851903,8311,4416840,61,540940484,2901887,2918900,17299421,295549159,169513706,7,531,,,,3,,,,125294,,0,https://i.scdn.co/image/ab67616d0000b27347478a4ab783457fe6766576
Whiskey Glasses,The Way I Talk,Morgan Wallen,7/29/2016,QZ22S1500059,2712,27,806728296,86002,17665355,75,429423484,1944017,80672,7719684,74890093,561554996,39,166568,8,3,2872,21,373712957,230218,,2204392,,0,https://i.scdn.co/image/ab67616d0000b2731215aac0c23dd8c31f5c14c1
Bolide allemand,Liens du 100,SDM,12-01-2022,FRUM72202503,2711,27,152546936,33014,4883069,68,129655800,510676,97575,4800473,54647905,87631959,32,6839,,23,5408422,12,,,,1390093,,1,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,09-07-2017,USRC11702155,2710,27,1687683940,177653,44326008,75,2784613,49443,,,,,117,40945,,115,601297,10,36235122,54088,,20400952,,0,https://i.scdn.co/image/ab67616d0000b2732bdcb339402ebd78651f09c8
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,1/31/2023,INS7A2352922,2709,27,1332230,592,95570,,307838128,1528273,4972,162043,2278729,,,,,,,,,,,7289,,0,https://i.scdn.co/image/ab67616d0000b27369511529d1385bb66fffc144
Bado Badi,Bado Badi,Chahat Fateh Ali Khan,4/23/2024,GX5PW2400002,2708,27,901007,18,713,,31008582,437421,,,,,,5,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b27333c994fb52a8450758c6cc7c
Wake Up! (feat. Juice WRLD),11th Dimension,Ski Mask The Slump God,06-07-2024,USUM72406359,2707,27,2886460,470,4717544,,329080,29751,,,,,,1,,,,,3173,5,260469,,,1,https://i.scdn.co/image/ab67616d0000b2735bcbd31096a905ddb1c02b88
Amor Tumbado,Mi Nuevo Yo,Natanael Cano,12/24/2019,USDXS1911811,2706,27,413743535,39980,7003058,73,420669522,2712590,143494,22305613,152431204,15959347,19,210,42,5,36707,15,31804920,42137,25393281,750571,,0,https://i.scdn.co/image/ab67616d0000b273a181306e44fc25b48f4a3e39
I'm the One,EPIC AF,DJ Khaled,01-01-2017,USSM11703300,2704,27.1,1257029279,122763,29582588,67,77475141,982093,475433,16501624,134170742,1488303,143,42076,28,72,445792,44,409246415,356341,6332764,,,1,https://i.scdn.co/image/ab67616d0000b273f2b55cfff049e03f92834b50
Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,7/26/2019,USUM71913434,2702,27.1,380367132,62939,11576619,64,663705750,3083081,542284,65038406,495501340,109211682,27,2027,,8,59407,1,1082805,1980,,1389750,,0,https://i.scdn.co/image/ab67616d0000b273705eb0a80239f0f02b3b4f54
Arranca (feat. Omega),Arranca (feat. Omega),Becky G,03-10-2023,USRC12300209,2699,27.1,161172707,23604,23467570,66,52352229,353891,33264,7184433,140240096,6507698,48,71615,534,45,1978100,35,12462344,1009,37415,1364052,,0,https://i.scdn.co/image/ab67616d0000b27361f698cb35bb6f6d96fd1612
The Family Madrigal,Encanto (Original Motion Picture Soundtrack),Stephanie Beatriz,11/19/2021,USWD12112911,2698,27.1,217919853,22687,11527473,63,351386257,1758940,189071,135800782,1067404078,117035357,19,714,,1,81124,9,45064909,42262,,143875,,0,https://i.scdn.co/image/ab67616d0000b273e1ac646ed6f25125e2a77229
Typa Girl,BORN PINK,BLACKPINK,9/16/2022,KRA402200021,2697,27.1,357054107,20864,10226449,66,199710937,2549362,225000,94313386,790229870,117807648,5,1109,14,2,80569,7,1790458,2002,1604862,359205,,1,https://i.scdn.co/image/ab67616d0000b273580ac3ad7dfc81e509171120
Like What (Freestyle),Like What (Freestyle),Cardi B,03-01-2024,USAT22401675,2696,27.1,23475715,2809,14222754,,21710598,476670,,3270800,27373700,648487,21,5417,120,14,176615,31,9313905,2075,1046901,164762,,1,https://i.scdn.co/image/ab67616d0000b273fe1fd60a94f026d613ac4be8
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,01-01-2009,USHR10924519,2695,27.1,1587114096,210519,147125974,76,993529828,4526606,428033,49702880,338781002,292478893,185,123744,578,56,1708084,33,313563554,535359,,3960920,,0,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
ELA PIROU NA DODGE RAM,ELA PIROU NA DODGE RAM - Single,Luan Pereira,3/17/2023,BCX5C2300005,2692,27.1,149455007,13028,12083352,17,185077693,990325,101800,22395889,272723903,325427233,2,10,,20,988870,9,202,,1027748,53011,,1,https://i.scdn.co/image/ab67616d0000b27309cd3b75625ff85382613425
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,GBARL2201233,2691,27.2,56670689,18344,1864537,16,126849797,654337,1373186,19812568,344920965,34681748,31,6751,1,2,131930,8,529966,444,,2142023,,1,https://i.scdn.co/image/ab67616d0000b2730a3ac7b7e7c426e60359fb5e
Ojos Marrones,Ojos Marrones,Lasso,06-03-2022,MXUM72200528,2690,27.2,370988405,33800,12228512,68,69184223,532555,856300,142179351,1614554007,80243,23,50826,392,9,88374,36,332657,2595,,1087892,,0,https://i.scdn.co/image/ab67616d0000b2738e3d95a57c2be60c96dee4b8
Always,NEVER ENOUGH,Daniel Caesar,04-07-2023,USUG12209355,2688,27.2,281707091,40049,16537367,74,23447030,216253,119645,29519019,236748049,38135485,13,9,26,3,2038,5,444186,872,,494628,,1,https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc
Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,08-07-2020,USLD91728036,2687,27.2,227802182,65190,11346495,61,69718488,722875,2019064,105311337,749906169,,14,82591,101,3,4527,9,76274129,39356,,534826,,1,https://i.scdn.co/image/ab67616d0000b273b3d45b74fdf99c9cc88497d3
Damage,Damage,H.E.R.,10/21/2020,USRC11903897,2686,27.2,108241832,24791,8314569,53,206773555,1296813,164089,11238095,122657966,32626219,82,229820,378,24,606294,29,183123789,60457,,1838870,,0,https://i.scdn.co/image/ab67616d0000b2731a72818330a056c9d3556a68
WASTE,DISORDER,Kxllswxtch,10/29/2021,USUYG1393224,2684,27.2,272051636,64633,11550020,72,39751949,818015,298019,180786694,1314232560,,3,38,,,,,399622,1480,15677219,1447289,,1,https://i.scdn.co/image/ab67616d0000b273933ae980d2d8a06b53226231
Gypsy,Gypsy,G.D. Kaur,05-10-2022,FR96X2229645,2682,27.2,58989412,4708,1055037,3,457435947,2665092,475,34450,756707,,,3,,,,,,,,116513,,0,https://i.scdn.co/image/ab67616d0000b2731ae42b916ed6365d26133770
YKWIM?,Bipolar,Yot Club,5/31/2019,CAGOO1966522,2681,27.2,675984633,147651,25369800,75,118564792,1898029,156693,168264666,882048158,182,8,10,,3,39672,11,6567978,7872,17184881,1248383,,0,https://i.scdn.co/image/ab67616d0000b2739276b0040c00070f5811019e
WATATI (feat. Aldo Ranks) [From Barbie The Album],WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,06-01-2023,USAT22305791,2680,27.2,100094720,10333,11971076,62,114762460,834616,389200,34507211,686876114,2604422,,,183,12,233950,,8878410,902,305973,,,0,https://i.scdn.co/image/ab67616d0000b273f8dd1a5704ef77b8cf274e1d
Bellyache,Bellyache,Billie Eilish,2/24/2017,USUM71615103,2679,27.2,965899534,101445,18858886,73,834705559,10523313,50459,42091450,287094813,84532929,76,2181,61,15,208011,32,83838375,64161,,3988502,,0,https://i.scdn.co/image/ab67616d0000b273a1ce8747837786900293efa0
Wait a Minute!,ARDIPITHECUS,WILLOW,01-11-2015,QMJMT1500801,2678,27.2,1081039358,220073,41752381,73,422709495,5234949,1620541,275664623,2051079047,70203,65,14873,,31,308544,17,31208630,67960,,7344889,,0,https://i.scdn.co/image/ab67616d0000b2735c376e9b77e6b030c283059a
Little Things x Gypsy Woman - L BEATS MASHUP,Little Things x Gypsy Woman (L BEATS MASHUP),Jorja Smith,6/30/2023,QM7282376030,2677,27.2,123627077,39465,44425341,71,,,4200,1046261,19231842,,13,15034,,30,549938,13,15420,191,,420572,,0,https://i.scdn.co/image/ab67616d0000b27393844705a9f375b857203617
HONEY BEES,HONEY BEES - Single,Hachi,02-06-2023,TCJPU2362002,2675,27.2,423395,229,2853,29,316523235,1071321,31700,2392537,14242780,121017,,1,,,,,,,,314,,0,https://i.scdn.co/image/ab67616d0000b273c6e2e40ce5a2d90fbc24a1a9
P power (feat. Drake),DRIP SEASON 4EVER,Gunna,01-07-2022,QMCE32200042,2671,27.3,307122295,91786,17784294,69,31666337,395808,142300,49947875,327835388,42553980,19,3448,154,11,64551,3,14840512,9645,,1132723,,1,https://i.scdn.co/image/ab67616d0000b27314d91ebdd6d7e2931322cc1a
Fight Song,Fight Song,Rachel Platten,12-02-2014,USSM11500753,2670,27.3,897794289,92326,47254001,69,101998780,1084274,2209428,115034762,1021462418,2330,2,117518,507,20,59768,47,470921326,687787,,,,0,https://i.scdn.co/image/ab67616d0000b2734239a6aa89738d8f798168ad
Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,4/23/2021,USRC12100749,2669,27.3,247462687,55580,12451213,61,76319678,1242250,881035,270293066,1691904373,33255959,26,937,,5,4470,8,3787909,12036,17109367,3937642,,1,https://i.scdn.co/image/ab67616d0000b2735963b0bbab0ab999fbbeb08b
Losing It,Losing It,FISHER,7/13/2018,CA5KR1821202,2668,27.3,523954769,213614,31880596,67,96992359,915175,44648,32897654,313069043,5471148,102,17311,100,43,349670,36,8197498,19923,,8854107,,0,https://i.scdn.co/image/ab67616d0000b27373304ce0653c7758dd94b259
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,07-11-2019,GBAHS1900714,2665,27.3,765374782,69032,29531913,67,419150011,3838603,77443,6020979,43199667,171357012,109,136075,43,353,748613,32,51150454,40049,524871,4294116,,0,https://i.scdn.co/image/ab67616d0000b2739367c1ee2eec0bf3a04b4868
Perfect Strangers,Perfect Strangers,Jonas Blue,06-03-2016,GBUM71602437,2664,27.3,1050246077,113716,28088689,69,917728451,4676705,92540,8116828,62167288,264268663,95,64388,,45,626313,5,22195250,14777,,9355617,,0,https://i.scdn.co/image/ab67616d0000b2735b6bcc59c3562a6f362344c6
Satu Rasa Cinta,Satu Rasa Cinta - Single,Happy Asmara,12-03-2022,DGA082216479,2662,27.3,3451208,248,31310,37,10165956,42703,2410953,11483292,319066421,,,12,,,,,,,,,,0,https://i.scdn.co/image/ab67616d0000b273bad61e540794ea331fa888e3
Porfa,Porfa,Feid,12/13/2019,USUM71924087,2661,27.3,396184710,62515,16214167,65,656159660,2808401,712,216831,1796651,45547242,43,8597,9,21,126240,17,14228113,2733,,1168477,,0,https://i.scdn.co/image/ab67616d0000b2738e8753ff69b7efb6f8e146cd
MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,Lil Mabu,05-05-2023,QZVEM2324634,2657,27.3,165642949,39238,3356524,62,13111498,338766,202400,91978574,709390008,277235691,3,63,555,,,,1467373,10053,,328655,,1,https://i.scdn.co/image/ab67616d0000b273a56e7dc625146a33a712bef4
Yet To Come,Proof,BTS,06-10-2022,USA2P2226300,2656,27.3,344744597,16095,22964291,64,264915434,15060408,359475,122010208,973086190,559165676,28,25341,77,15,304852,8,920415,869,,625565,,0,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,09-06-2010,USWB11002103,2655,27.4,662257934,113043,31739594,71,464462597,3215886,707886,215370319,1511650572,22268968,58,4835,20,7,3709,11,939708588,1049157,,4225673,,1,https://i.scdn.co/image/fade577145599daff924bb7b28386a84f67bd1db
Big City Life,Big City Life,Luude,6/16/2022,AUDCB1702119,2653,27.4,181323700,71547,13471679,65,17510125,116193,37362,12550708,160730392,16109408,23,16173,,4,4860,2,3,,5948682,780420,,0,https://i.scdn.co/image/ab67616d0000b273cba8091b7b9bddf2b42afa4b
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,USIR10211066,2651,27.4,1958809069,282888,74055843,79,1463549979,10918289,41045,6151095,54356279,324314535,83,1714,25,37,924049,29,618998662,1209416,,4812702,,1,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4
Solo,Solo,Myles Smith,11/15/2023,UKXN22382205,2647,27.4,95747052,18521,23770824,,13990236,198993,1907,604177,9054387,45935756,29,8090,,44,696335,3,176881,306,588902,313239,,0,https://i.scdn.co/image/ab67616d0000b2735794dbc9f4b49c6c0264cea2
Space Song,Depression Cherry,Beach House,8/21/2015,USSUB1512203,2646,27.4,1099069598,261122,71073470,73,127534602,1660824,496525,338753643,2588157478,3593056,88,4491,9,14,264505,38,24447183,25737,16000671,7887047,,0,https://i.scdn.co/image/ab67616d0000b27302859310b61e59756abb90ad
Pink + White,Blonde,Frank Ocean,8/20/2016,QZ5C81600003,2642,27.4,1299650856,228950,71708447,83,158016588,1286636,130802,68303456,442090971,455453,163,6091,221,46,1275701,41,24819579,19292,9043608,2187716,,0,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
OKAY,OKAY (Versions),JT,4/24/2024,USUG12400080,2641,27.4,16446111,1966,36576049,65,5578963,138920,,,,,33,370,29,5,86874,42,1687958,1032,980462,178540,,1,https://i.scdn.co/image/ab67616d0000b2734a448950b26a622b4e83b704
Sex Music,Sex Music,Tank,6/29/2010,USAT21001199,2638,27.4,5283089,920,403273,30,7187358,56665,377,21957,482153,738617,2,99,,,,,20524623,3482168,,90172,,0,https://i.scdn.co/image/ab67616d0000b27363c4b04c54664c96d007ecff
My Way,My Way,Calvin Harris,9/16/2016,GBARL1601358,2636,27.4,1014534913,132592,41964503,73,615907345,3461084,453551,10268320,56011096,171305180,146,51151,10,99,607512,10,111067662,33355,,8339785,,0,https://i.scdn.co/image/ab67616d0000b2738daa8ac6367fc997c1873b9b
Jumbotron Shit Poppin,Her Loss,Drake,11-04-2022,USUG12208610,2635,27.4,126296463,44782,4407877,62,37702345,528716,23780,8679451,70817893,146398901,22,841,,1,891,,5094223,3119,9731011,588261,,1,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad
Only Human,Happiness Begins,Jonas Brothers,06-07-2019,USUG11901281,2634,27.5,508463163,58919,15436258,65,136979542,1457926,27246,6682986,45970559,168192621,66,350184,362,24,166715,17,181852656,50826,,7575291,,0,https://i.scdn.co/image/ab67616d0000b273de1a3a5eaa0c75bb18e7b597
Raining In Manila,Raining In Manila,Lola Amour,6/14/2023,PHW012300171,2633,27.5,136169854,11506,4813121,63,117339013,473732,279014,57862276,567845644,46522818,4,1084,,,,,,,,28884,,0,https://i.scdn.co/image/ab67616d0000b273203a734e4000bdc93fbe98af
HE KNOWS (feat. Lil Nas X),HE KNOWS (feat. Lil Nas X),Camila Cabello,05-10-2024,USUG12402116,2632,27.5,14234598,1591,38201815,,6333352,231932,,,,134773880,31,6010,22,44,4764407,66,250375,112,,35203,,1,https://i.scdn.co/image/ab67616d0000b2738ef2562a1156ea6766e00ecb
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",His & Hers,Internet Money,5/13/2021,QZJ842000873,2631,27.5,224820131,81921,11821621,,49154791,830423,1713669,151684690,1272691476,19446900,66,294,,11,40645,,4052813,5397,,993226,,1,https://i.scdn.co/image/ab67616d0000b273fa3f1f67c0504174097db970
Red Leather,WE STILL DON'T TRUST YOU,Future,04-12-2024,USSM12403108,2630,27.5,22715763,6606,6526571,,3791463,74013,,,,381728,4,111,,9,1201097,14,305314,512,,155058,,1,https://i.scdn.co/image/ab67616d0000b273678eae35be0325b5de578d57
Tu Aake Dekhle,The Carnival,King,9/21/2020,FRX762050882,2629,27.5,410639967,33664,5963459,69,619113386,7584160,132004,4491970,61728216,,9,508,,1,1097,6,1824,,,475672,,0,https://i.scdn.co/image/ab67616d0000b273d353552c4c2932094456bbe9
Daddy Issues,Wiped Out!,The Neighbourhood,10/30/2015,USSM11506747,2627,27.5,1435372572,239555,84147867,80,450121249,5511534,252108,196480803,1122697302,8013039,47,81,,24,84882,3,32313966,41491,,3422693,,0,https://i.scdn.co/image/ab67616d0000b2733066581d697fbdee4303d685
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,USUM72404007,2623,27.5,15062636,1446,39911356,75,4507011,112133,1034,570876,6372350,112054624,40,258,,29,894139,29,1020471,224,,27497,,0,https://i.scdn.co/image/ab67616d0000b2736a0ac31ac69f887a0d1e5b4f
Verte Ir,Verte Ir,DJ Luian,3/28/2019,QZ7B81700011,2622,27.5,550967367,65928,18945081,64,728468384,3473098,11200,1930550,20847094,137102567,35,3884,17,7,293349,12,73700065,8531,,1353531,,0,https://i.scdn.co/image/ab67616d0000b2737eeb115b73e2e6abc3c66d59
Ignorantes,Ignorantes,Bad Bunny,2/14/2020,QM4TW2090210,2618,27.6,671572185,88857,22055975,62,417964046,2807917,10203,4124925,26125487,41199062,70,12213,66,26,309402,25,74716130,7214,,959604,,1,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0
Risk,Risk,Gracie Abrams,05-01-2024,USUG12401764,2617,27.6,41114784,2686,35162711,78,3726904,134081,,,,,41,5382,4,36,7998062,78,65016,138,,61468,,0,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa
Black Friday,Black Friday,Tom Odell,9/20/2023,USA2P2342595,2616,27.6,126929488,23805,42713528,,11445116,165135,20254,10350073,59075543,9939532,24,4372,7,22,405914,21,201918,372,1827313,485209,,0,https://i.scdn.co/image/ab67616d0000b273a0fab1c9bdfc54357ddb89a6
